cvegeo,entidad,vivienda,remesas,emigrantes,circulares,retorno
1,Aguascalientes,293237,4.81,2.55,1.63,3.13
2,Baja California,880905,3.7,1.05,0.47,3.39
3,Baja California Sur,186628,1.57,0.45,0.41,1.3
4,Campeche,214104,0.86,0.46,0.25,0.98
5,Coahuila de Zaragoza,736715,2.39,0.94,0.54,1.35
6,Colima,181296,5.2,1.81,1.09,4
7,Chiapas,1085161,1.11,1.13,0.52,0.86
8,Chihuahua,951720,4.4,1.67,0.72,2.55
9,Distrito Federal,2450563,1.17,0.62,0.35,0.54
10,Durango,407712,6.52,2.4,1.34,3.27
11,Guanajuato,1288421,7.76,5.27,2.26,4.14
12,Guerrero,817148,6.62,3.25,0.96,3.44
13,Hidalgo,673645,4.33,3.47,1.64,3.98
14,Jalisco,1823973,5.41,2.19,1.3,2.83
15,México,3723607,1.55,1.04,0.62,1.08
16,Michoacán de Ocampo,1083727,9.33,4.36,1.95,4.8
17,Morelos,475683,5.42,2.52,1.05,3.49
18,Nayarit,294582,9.16,2.11,2.29,4.03
19,Nuevo León,1216289,1.3,0.57,0.41,0.9
20,Oaxaca,936588,4.89,4.07,0.9,3.05
21,Puebla,1383205,3.8,3.04,1.05,2.08
22,Querétaro,455225,3.28,3,1.57,2.53
23,Quintana Roo,367731,1.22,0.48,0.26,0.83
24,San Luis Potos¡,641184,6.58,3.06,1.34,3.17
25,Sinaloa,722719,3.26,1.02,0.66,1.83
26,Sonora,738568,2.67,1.07,0.69,2.68
27,Tabasco,574202,0.81,0.47,0.34,0.48
28,Tamaulipas,903173,3.06,1.22,0.74,2.19
29,Tlaxcala,276977,2.59,2.44,1.25,1.8
30,Veracruz de Ignacio de la Llave,2029023,2.53,1.75,0.83,1.92
31,Yucatán,505176,1.46,0.74,0.35,0.7
32,Zacatecas,377293,11.04,4.5,2.33,5.56
